product_category,delivered_orders,items_sold,revenue,average_item_value
health_beauty,8647,9465,1412089.53,149.19
watches_gifts,5495,5859,1264333.12,215.79
bed_bath_table,9272,10953,1225209.26,111.86
sports_leisure,7530,8431,1118256.91,132.64
computers_accessories,6530,7644,1032723.77,135.1
furniture_decor,6307,8160,880329.92,107.88
housewares,5743,6795,758392.25,111.61
cool_stuff,3559,3718,691680.89,186.04
auto,3810,4140,669454.75,161.7
garden_tools,3448,4268,567145.68,132.88
toys,3804,4030,547061.06,135.75
baby,2809,2982,466727.65,156.51
perfumery,3086,3340,443171.63,132.69
telephony,4093,4430,379202.62,85.6
office_furniture,1254,1668,335211.36,200.97
stationery,2264,2466,269575.05,109.32
pet_shop,1688,1924,250614.2,130.26
computers,177,199,228349.76,1147.49
musical_instruments,611,651,202187.12,310.58
electronics,2517,2729,200723.09,73.55
small_appliances,609,658,198108.47,301.08
unknown,1392,1537,197695.69,128.62
fashion_bags_accessories,1820,1985,179888.29,90.62
luggage_accessories,1019,1077,168778.12,156.71
consoles_games,1018,1089,167097.73,153.44
construction_tools_construction,736,916,162382.01,177.27
home_appliances_2,227,231,118208.52,511.73
home_construction,483,596,95022.37,159.43
home_appliances,747,754,93301.78,123.74
furniture_living_room,414,495,85045.07,171.81
agro_industry_and_commerce,177,206,76203.3,369.92
home_confort,392,429,66438.22,154.87
air_conditioning,246,289,59854.55,207.11
fixed_telephony,212,255,59816.54,234.57
kitchen_dining_laundry_garden_furniture,241,274,57072.97,208.3
audio,348,362,56255.32,155.4
books_general_interest,496,537,54182.54,100.9
small_appliances_home_oven_and_coffee,72,73,49245.9,674.6
construction_tools_lights,242,301,47447.14,157.63
industry_commerce_and_business,232,265,46079.34,173.88
construction_tools_safety,159,183,42504.02,232.26
food,441,499,35794.68,71.73
market_place,274,305,33114.38,108.57
costruction_tools_garden,190,232,30283.94,130.53
fashion_shoes,235,257,27814.83,108.23
signaling_and_security,138,197,27792.59,141.08
art,195,197,27485.53,139.52
drinks,287,361,26971.11,74.71
furniture_bedroom,90,103,23379.22,226.98
books_technical,256,263,22901.07,87.08
food_drink,221,269,19337.77,71.89
costruction_tools_tools,97,103,17934.17,174.12
fashion_male_clothing,106,125,12514.95,100.12
christmas_supplies,125,150,11928.75,79.53
fashion_underwear_beach,117,127,11160.02,87.87
tablets_printing_image,79,83,8754.61,105.48
cine_photo,63,70,7902.18,112.89
music,38,38,6724.86,176.97
furniture_mattress_and_upholstery,37,37,5904.75,159.59
dvds_blu_ray,56,61,5769.84,94.59
party_supplies,38,42,5285.38,125.84
books_imported,50,57,5150.94,90.37
portateis_cozinha_e_preparadores_de_alimentos,13,14,4228.05,302.0
fashio_female_clothing,36,45,3218.44,71.52
fashion_sport,26,29,2657.55,91.64
la_cuisine,13,14,2388.54,170.61
arts_and_craftmanship,23,24,2184.14,91.01
diapers_and_hygiene,25,37,2046.19,55.3
flowers,29,33,1598.91,48.45
pc_gamer,7,8,1430.1,178.76
home_comfort_2,24,30,1170.58,39.02
cds_dvds_musicals,12,14,954.99,68.21
fashion_childrens_clothes,7,7,598.67,85.52
security_and_services,2,2,324.51,162.25
