customer_state,delivered_orders,revenue,average_order_value,order_share
SP,40501,5769703.15,142.46,0.4198
RJ,12350,2055401.57,166.43,0.128
MG,11354,1818891.67,160.2,0.1177
RS,5345,861472.79,161.17,0.0554
PR,4923,781708.8,158.79,0.051
SC,3546,595127.78,167.83,0.0368
BA,3256,591137.81,181.55,0.0337
DF,2080,346123.35,166.41,0.0216
GO,1957,334212.35,170.78,0.0203
ES,1995,317657.93,159.23,0.0207
PE,1593,308972.05,193.96,0.0165
CE,1279,266436.77,208.32,0.0133
PA,946,212023.57,224.13,0.0098
MT,886,181224.42,204.54,0.0092
MA,717,147803.55,206.14,0.0074
PB,517,137838.55,266.61,0.0054
MS,701,134367.55,191.68,0.0073
PI,476,105178.19,220.96,0.0049
RN,474,100714.78,212.48,0.0049
AL,397,94172.49,237.21,0.0041
SE,335,70289.13,209.82,0.0035
TO,274,60007.37,219.0,0.0028
RO,243,56966.0,234.43,0.0025
AM,145,27585.47,190.24,0.0015
AC,80,19575.33,244.69,0.0008
AP,67,16141.81,240.92,0.0007
RR,41,9039.52,220.48,0.0004
