product_category,reviewed_orders,average_review_score,reviewed_revenue
books_general_interest,492,4.51,53836.17
books_technical,255,4.39,22916.27
food_drink,221,4.37,19477.1
luggage_accessories,1015,4.35,168060.83
fashion_shoes,231,4.29,27597.28
food,437,4.26,35252.28
stationery,2251,4.24,268603.48
small_appliances,604,4.23,197607.83
home_appliances,744,4.23,96811.21
pet_shop,1680,4.22,249737.63
perfumery,3076,4.22,442719.29
musical_instruments,605,4.22,199429.59
computers,174,4.22,219274.62
toys,3774,4.21,542836.08
health_beauty,8601,4.19,1407731.9
fashion_bags_accessories,1811,4.19,180119.77
cool_stuff,3531,4.19,685996.77
sports_leisure,7486,4.17,1117653.02
home_appliances_2,226,4.16,118283.08
consoles_games,1009,4.14,165465.55
industry_commerce_and_business,230,4.13,45936.44
drinks,287,4.13,27095.23
costruction_tools_garden,190,4.12,30362.12
auto,3792,4.12,662714.87
housewares,5709,4.11,756309.97
signaling_and_security,137,4.09,27660.02
construction_tools_lights,239,4.09,46671.97
construction_tools_construction,731,4.09,161401.46
agro_industry_and_commerce,177,4.09,76203.3
garden_tools,3428,4.08,564791.95
baby,2787,4.08,463617.78
art,193,4.08,27283.98
watches_gifts,5454,4.07,1257855.65
market_place,272,4.07,33017.2
electronics,2498,4.07,196378.96
christmas_supplies,123,4.07,10972.71
fashion_underwear_beach,116,4.05,11095.02
air_conditioning,242,4.05,59043.94
kitchen_dining_laundry_garden_furniture,239,4.03,56758.74
telephony,4069,4.0,377038.89
computers_accessories,6499,3.98,1036694.97
construction_tools_safety,158,3.97,42459.79
home_construction,481,3.96,94830.22
furniture_decor,6260,3.95,880715.84
unknown,1382,3.94,197297.49
furniture_living_room,409,3.94,84254.59
bed_bath_table,9177,3.92,1229447.33
home_confort,390,3.85,65928.83
audio,345,3.83,55964.46
fixed_telephony,209,3.76,59210.29
fashion_male_clothing,105,3.76,12280.53
office_furniture,1244,3.52,333173.58
