seller_id,seller_state,delivered_orders,items_sold,revenue,average_item_value,revenue_rank
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1124,1148,247007.06,215.16,1
7c67e1448b00f6e969d365cea6b010ab,SP,973,1355,237806.69,175.5,2
4a3ca9315b744ce9f8e9374361493884,SP,1772,1949,231220.43,118.64,3
53243585a1d6dc2643021fd1853d8905,BA,348,400,230797.02,576.99,4
fa1c13f2614d7b5c4749cbc52fecda94,SP,578,579,200833.5,346.86,5
da8622b14eb17ae2831f4ac5b9dab84a,SP,1311,1548,184706.78,119.32,6
7e93a43ef30c4f03f38b393420bc753a,SP,319,322,171973.55,534.08,7
1025f0e2d44d7041d6cf58b6550e0bfa,SP,910,1420,171924.96,121.07,8
7a67c85e85bb2ce8582c35f2203ad736,SP,1145,1155,160278.52,138.77,9
955fee9216a65b617aa5c0531780ce60,SP,1261,1472,156606.48,106.39,10
6560211a19b47992c3666cc44a7e94c0,SP,1819,1996,148050.94,74.17,11
1f50f920176fa81dab994f9023523100,SP,1399,1926,141712.94,73.58,12
46dc3b2cc0980fb8ec44634e21d2718e,RJ,503,523,134162.88,256.53,13
a1043bafd471dff536d0c462352beb48,MG,702,752,130412.74,173.42,14
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,722,778,126278.18,162.31,15
cc419e0650a3c5ba77189a1882b7556a,SP,1651,1719,125936.99,73.26,16
5dceca129747e92ff8ef7a997dc4f8ca,SP,322,343,124702.92,363.57,17
7d13fca15225358621be4086e1eb0964,SP,558,571,120934.47,211.79,18
3d871de0142ce09b7081e2b9d1733cb1,SP,1064,1131,115515.65,102.14,19
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,165,174,83031.14,477.19,20
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,184,189,78101.34,413.23,21
cca3071e3e9bb7d12640c9fbe2301306,SP,699,817,77188.55,94.48,22
8581055ce74af1daba164fdbd55a40de,SP,380,427,73473.98,172.07,23
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,218,229,72387.94,316.1,24
fe2032dab1a61af8794248c8196565c9,SP,293,305,70400.6,230.82,25
de722cd6dad950a92b7d4f82673f8833,PE,337,377,64776.59,171.82,26
f8db351d8c4c4c22c6835c19a46f01b0,SP,659,714,62487.02,87.52,27
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,325,334,62202.75,186.24,28
04308b1ee57b6625f47df1d56f00eedf,SC,92,92,61940.62,673.27,29
522620dcb18a6b31cd7bdf73665113a9,PR,172,178,61273.66,344.23,30
218d46b86c1881d022bce9c68a7d4b15,SP,382,420,61162.94,145.63,31
25c5c91f63607446a97b143d2d535d31,MG,156,266,61154.7,229.9,32
37be5a7c751166fbc5f8ccba4119e043,SP,269,278,60756.76,218.55,33
17e34d8224d27a541263c4c64b11a56b,SP,247,260,59530.49,228.96,34
17f51e7198701186712e53a39c564617,SP,56,61,57812.43,947.74,35
ceaec5548eefc6e23e6607c5435102e7,SP,198,206,57653.73,279.87,36
b2ba3715d723d245138f291a6fe42594,SP,324,350,55596.65,158.85,37
f5a590cf36251cf1162ea35bef76fe84,SP,113,118,55366.96,469.21,38
8160255418d5aaa7dbdc9f4c64ebda44,SP,380,424,54095.68,127.58,39
ea8482cd71df3c1969d7b9473ff13abc,SP,1132,1188,53988.63,45.44,40
77530e9772f57a62c906e1c21538ab82,PR,312,381,53951.31,141.6,41
e882b2a25a10b9c057cc49695f222c19,RJ,57,58,53913.76,929.55,42
4e922959ae960d389249c378d1c939f5,SP,412,446,52485.6,117.68,43
e9779976487b77c6d4ac45f75ec7afe9,SP,645,738,52211.3,70.75,44
2bf6a2c1e71bbd29a4ad64e6d3c3629f,RJ,30,31,51629.49,1665.47,45
4d6d651bd7684af3fffabd5f08d12e5a,SP,363,389,50785.76,130.55,46
c826c40d7b19f62a09e2d7c5e7295ee2,SP,346,365,50096.67,137.25,47
391fc6631aebcf3004804e51b40bcf1e,SP,521,605,49559.14,81.92,48
c3cfdc648177fdbbbb35635a37472c53,PR,278,307,49127.81,160.03,49
17a053fcb14bd219540cbde0df490be0,SP,124,148,49114.41,331.85,50
d91fb3b7d041e83b64a00a3edfb37e4f,SP,524,525,48984.45,93.3,51
850f4f8af5ea87287ac68de36e29107f,SP,186,191,48382.72,253.31,52
06a2c3af7b3aee5d69171b0e14f0ee87,MA,389,402,48169.5,119.82,53
966cb4760537b1404caedd472cc610a5,SP,67,67,47432.57,707.95,54
b33e7c55446eabf8fe1a42d037ac7d6d,SP,149,152,46871.55,308.37,55
eeb6de78f79159600292e314a77cbd18,SC,82,83,46506.89,560.32,56
712e6ed8aa4aa1fa65dab41fed5737e4,SC,77,85,46149.82,542.94,57
ba90964cff9b9e0e6f32b23b82465f7b,SP,38,38,45523.5,1197.99,58
634964b17796e64304cadf1ad3050fb7,RJ,265,323,45014.1,139.36,59
834f3294fba9f932f56edc879193f925,SP,66,66,44207.42,669.81,60
7142540dd4c91e2237acb7e911c4eba2,SP,316,328,44025.68,134.22,61
b839e41795b7f3ad94cc2014a52f6796,SP,33,36,43749.93,1215.28,62
2eb70248d66e0e3ef83659f71b244378,SP,187,197,42046.73,213.44,63
1835b56ce799e6a4dc4eddc053f04066,SP,417,551,41628.28,75.55,64
7178f9f4dd81dcef02f62acdf8151e01,SC,202,215,41180.44,191.54,65
7299e27ed73d2ad986de7f7c77d919fa,MG,335,358,40911.93,114.28,66
dbc22125167c298ef99da25668e1011f,MG,394,417,40616.55,97.4,67
c70c1b0d8ca86052f45a432a38b73958,SP,260,336,40190.56,119.61,68
c3867b4666c7d76867627c2f7fb22e21,SP,228,241,39360.2,163.32,69
53e4c6e0f4312d4d2107a8c9cddf45cd,SP,463,512,39283.93,76.73,70
855668e0971d4dfd7bef1b6a4133b41b,SP,300,311,38408.56,123.5,71
87142160b41353c4e5fca2360caf6f92,RS,305,339,38314.31,113.02,72
0241d4d5d36f10f80c644447315af0bd,PR,238,246,38251.61,155.49,73
e9bc59e7b60fc3063eb2290deda4cced,PR,209,260,38082.42,146.47,74
59417c56835dd8e2e72f91f809cd4092,SP,18,18,37657.77,2092.1,75
2528513dd95219a6013d4d05176e391a,SP,160,166,36400.97,219.28,76
88460e8ebdecbfecb5f9601833981930,PR,246,300,36258.59,120.86,77
76d5af76d0271110f9af36c92573f765,SP,128,155,35731.66,230.53,78
1554a68530182680ad5c8b042c3ab563,MG,246,267,35714.56,133.76,79
9c0e69c7bf2619675bbadf47b43f655a,SP,151,200,35543.82,177.72,80
70a12e78e608ac31179aea7f8422044b,SP,312,323,35487.25,109.87,81
5c243662ce92d84573bfaff24c3e3700,SP,98,100,34637.66,346.38,82
70eea00b476a314817cefde4aad4f89a,SP,106,112,34149.66,304.91,83
7681ef142fd2c19048da7430856b5588,SP,58,76,34074.67,448.35,84
001cca7ae9ae17fb1caed9dfb1094831,ES,195,234,33142.9,141.64,85
e59aa562b9f8076dd550fcddf0e73491,PR,69,82,32876.37,400.93,86
1900267e848ceeba8fa32d80c1a5f5a8,SP,406,523,32679.54,62.48,87
d1c281d3ae149232351cd8c8cc885f0d,SP,214,239,32213.68,134.79,88
0b90b6df587eb83608a64ea8b390cf07,PR,163,209,32090.94,153.55,89
59b22a78efb79a4797979612b885db36,MG,125,133,32082.07,241.22,90
d23019c84ffae2d5ef2270367b8605fc,PR,39,39,31954.84,819.35,91
9f505651f4a6abe901a56cdc21508025,SP,393,426,31862.59,74.79,92
a3a38f4affed601eb87a97788c949667,SC,251,260,31479.28,121.07,93
8b321bb669392f5163d04c59e235e066,SP,930,1005,31186.94,31.03,94
900ba814c251a692506d7834c1218441,SP,86,86,31167.46,362.41,95
16090f2ca825584b5a147ab24aa30c86,SP,398,406,30984.02,76.32,96
d2374cbcbb3ca4ab1086534108cc3ab7,SP,514,620,30370.23,48.98,97
12b9676b00f60f3b700e83af21824c0e,RS,133,133,29901.67,224.82,98
c003204e1ab016dfa150abc119207b24,SP,195,200,29618.46,148.09,99
b32be1695eb7ec5f10f72d9610a12527,RS,44,45,29512.68,655.84,100
7e1fb0a3ebfb01ffb3a7dae98bf3238d,SP,155,169,29052.62,171.91,101
de23c3b98a88888289c6f5cc1209054a,SP,161,178,28579.86,160.56,102
897060da8b9a21f655304d50fd935913,SP,304,413,28258.33,68.42,103
dc4a0fc896dc34b0d5bfec8438291c80,SP,225,242,28148.06,116.31,104
a416b6a846a11724393025641d4edd5e,SP,157,176,27865.8,158.33,105
1c68394e931a64f90ea236c5ea590300,PR,142,171,27729.16,162.16,106
f62d7bb4a613ec758a03342d46b580b2,MG,32,32,26790.59,837.21,107
1a3df491d1c4f1589fc2b934ada68bf2,SC,160,171,26550.63,155.27,108
b94cc9f10ddc85e4ba73a6f7974e7101,RJ,39,39,26368.49,676.12,109
710e3548e02bc1d2831dfc4f1b5b14d4,PR,131,137,26111.91,190.6,110
7ad32824caee82087b3e2e5f33b1bf32,SP,147,180,25495.8,141.64,111
612170e34b97004b3ba37eae81836b4c,RS,107,110,25372.08,230.66,112
f45122a9ab94eb4f3f8953578bc0c560,SP,184,197,25043.87,127.13,113
8f2ce03f928b567e3d56181ae20ae952,SP,151,172,24969.8,145.17,114
729f06993dac8e860d4f02d7088ca48a,SP,94,113,24798.27,219.45,115
2b3e4a2a3ea8e01938cabda2a3e5cc79,SP,52,54,24535.1,454.35,116
b37c4c02bda3161a7546a4e6d222d5b2,SP,4,15,24487.6,1632.51,117
744dac408745240a2c2528fb1b6028f3,PR,78,83,24200.4,291.57,118
40db9e9aa57f7bb151bcda6b0f9bdbb7,PE,12,12,23823.99,1985.33,119
06e5eefc71ec47ae763c5c6f8db7064f,RS,90,93,23800.32,255.92,120
0dd184061fb0eaa7ca37932c68ab91c5,SP,161,193,23766.42,123.14,121
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,SP,20,20,23695.2,1184.76,122
85d9eb9ddc5d00ca9336a2219c97bb13,MG,499,512,23539.91,45.98,123
8444e55c1f13cd5c179851e5ca5ebd00,MG,92,102,23445.67,229.86,124
00ee68308b45bc5e2660cd833c3f81cc,SP,135,172,23440.66,136.28,125
7b0df942f46435babab05d49b744b2c4,SP,32,32,23272.78,727.27,126
59fb871bf6f4522a87ba567b42dafecf,SP,123,125,23192.18,185.54,127
004c9cd9d87a3c30c522c48c4fc07416,SP,156,168,23094.02,137.46,128
05ff92fedb5be47920fea08e501238b9,RS,57,60,22983.87,383.06,129
dc317f341ab0e22f39acbd9dbf9b4a1f,RS,55,58,22570.13,389.14,130
f457c46070d02cadd8a68551231220dd,PR,195,230,22449.01,97.6,131
48162d548f5b1b11b9d29d1e01f75a61,SP,66,89,22151.83,248.9,132
b1b3948701c5c72445495bd161b83a4c,SP,14,14,21924.25,1566.02,133
bfd27a966d91cfaafdb25d076585f0da,SP,114,115,21861.41,190.1,134
44073f8b7e41514de3b7815dd0237f4f,DF,142,151,21519.49,142.51,135
128639473a139ac0f3e5f5ade55873a5,PR,527,554,21475.54,38.76,136
0c8380b62e38e8a1e6adbeba7eb9688c,MG,180,218,21300.74,97.71,137
76d64c4aca3a7baf218bf93ef7fa768d,PR,64,69,20455.29,296.45,138
54a1852d1b8f10312c55e906355666ee,SP,198,202,20418.03,101.08,139
fa40cc5b934574b62717c68f3d678b6d,SP,304,337,20383.01,60.48,140
7aa4334be125fcdd2ba64b3180029f14,SP,214,237,20330.52,85.78,141
cd68562d3f44870c08922d380acae552,SP,122,129,20279.86,157.21,142
96493fab2fbb13a14d0c0e8772eef5c3,SP,63,64,20181.23,315.33,143
41b39e28db005d9731d9d485a83b4c38,SP,187,223,20064.52,89.98,144
527801b552d0077ffd170872eb49683b,SP,90,92,20005.36,217.45,145
1e8b33f18b4f7598d87f5cbee2282cc2,SP,122,139,19924.07,143.34,146
c33847515fa6305ce6feb1e818569f13,SC,114,128,19894.26,155.42,147
86ccac0b835037332a596a33b6949ee1,SC,178,208,19799.95,95.19,148
9de4643a8dbde634fe55621059d92273,SC,72,81,19282.41,238.05,149
821fb029fc6e495ca4f08a35d51e53a5,SP,24,25,19217.17,768.69,150
d650b663c3b5f6fb392b6326366efa9a,SP,57,57,19188.01,336.63,151
4b9750c8ad28220fe6702d4ecb7c898f,SP,217,221,19173.85,86.76,152
165fc07beebdcb6190fba8a06db2a449,PR,50,64,19081.43,298.15,153
4c2b230173bb36f9b240f2b8ac11786e,SP,258,343,18828.71,54.89,154
c72de06d72748d1a0dfb2125be43ba63,BA,21,22,18733.18,851.51,155
79ebd9a61bac3eaf882805ed4ecfa12a,PR,133,140,18730.52,133.79,156
94144541854e298c2d976cb893b81343,RS,68,76,18715.65,246.26,157
a888faf2d1baececa6baf9c3d603ee1f,PR,53,54,18672.75,345.79,158
213b25e6f54661939f11710a6fddb871,SP,152,190,18486.96,97.3,159
ef0ace09169ac090589d85746e3e036f,RJ,128,139,18404.78,132.41,160
2a84855fd20af891be03bc5924d2b453,MG,155,159,18265.72,114.88,161
2138ccb85b11a4ec1e37afbd1c8eda1f,SP,388,419,17991.89,42.94,162
0adac9fbd9a2b63cccaac4f8756c1ca8,SP,106,134,17955.5,134.0,163
abe42c5d03695b4257b5c6cbf4e6784e,RJ,49,49,17947.55,366.28,164
229c3efbfb0ea2058de4ccdfbc3d784a,MG,118,145,17779.71,122.62,165
8ae520247981aa06bc94abddf5f46d34,SC,65,65,17766.34,273.33,166
01fdefa7697d26ad920e9e0346d4bd1b,PR,128,130,17532.79,134.87,167
4a3ccda38b2129705f3fb522db62ca31,SP,64,73,17508.81,239.85,168
66922902710d126a0e7d26b0e3805106,MG,150,155,17464.93,112.68,169
d921b68bf747894be13a97ae52b0f386,MG,77,77,17403.81,226.02,170
1b4c3a6f53068f0b6944d2d005c9fc89,SC,111,115,17396.99,151.28,171
5cf13accae3222c70a9cac40818ae839,MG,148,155,17296.18,111.59,172
e5a38146df062edaf55c38afa99e42dc,SP,120,124,17156.43,138.36,173
c3acdfac4e3e97ff87529454fbc03642,SP,12,12,17057.28,1421.44,174
d94a40fd42351c259927028d163af842,MG,100,109,17022.37,156.17,175
2e90cb1677d35cfe24eef47d441b7c87,SP,127,137,16782.16,122.5,176
6d66611d7c44cc30ce351abc49a68421,SP,164,174,16645.26,95.66,177
2a5b78b41cd05baeac8df54c6606b92c,MG,46,56,16575.47,295.99,178
1f1bb1f0859883505541bdd6606193e5,SP,27,29,16562.87,571.13,179
6061155addc1e54b4cfb51c1c2a32ad8,SP,28,33,16513.31,500.4,180
669ae81880e08f269a64487cfb287169,SC,161,185,16485.2,89.11,181
